lugar,lat,lon
"Los Ángeles",34.060181236803544,-118.26495006624927
"Miami",26.080251882437423,-80.00075254695427
"Tokio",36.281155969823274,139.69389248937378
"Republica Dominicana",18.824744622285046,-70.01310719417397
"México",24.290813589234876,-102.45680731167636
"Panamá",8.62312442151924,-80.10185915553889
"Río de Janeiro",-22.80179267311784,-43.07949509695738
"Abu Dhabi",24.845247545062,54.422485411165475
"Nueva York",40.97874361362371,-73.87957390400817
"Cuba",21.927295464633648,-79.1922310455724
